timestamp,src_ip,dst_ip,protocol,length
2026-06-03 17:59:04.380777,192.168.1.21,172.64.155.209,TCP,453
2026-06-03 17:59:04.384965,172.64.155.209,192.168.1.21,TCP,66
2026-06-03 17:59:04.389100,192.168.1.21,34.107.243.93,TCP,105
2026-06-03 17:59:04.393633,192.168.1.21,34.107.243.93,TCP,90
2026-06-03 17:59:04.398773,172.64.155.209,192.168.1.21,TCP,526
2026-06-03 17:59:04.402737,192.168.1.21,172.64.155.209,TCP,66
2026-06-03 17:59:04.407366,172.64.155.209,192.168.1.21,TCP,144
2026-06-03 17:59:04.411299,192.168.1.21,172.64.155.209,TCP,66
2026-06-03 17:59:04.573959,34.107.243.93,192.168.1.21,TCP,66
2026-06-03 17:59:04.579268,34.107.243.93,192.168.1.21,TCP,66
2026-06-03 17:59:04.583492,192.168.1.21,34.107.243.93,TCP,66
2026-06-03 17:59:05.080144,192.168.1.21,142.251.220.106,UDP,71
2026-06-03 17:59:05.081475,142.251.220.106,192.168.1.21,UDP,74
2026-06-03 17:59:05.342356,192.168.1.21,151.101.209.91,TCP,112
2026-06-03 17:59:05.347240,192.168.1.21,151.101.209.91,TCP,97
2026-06-03 17:59:05.597229,151.101.209.91,192.168.1.21,TCP,66
2026-06-03 17:59:05.601584,151.101.209.91,192.168.1.21,TCP,66
2026-06-03 17:59:05.606198,151.101.209.91,192.168.1.21,TCP,97
2026-06-03 17:59:05.610033,192.168.1.21,151.101.209.91,TCP,54
2026-06-03 17:59:05.614406,151.101.209.91,192.168.1.21,TCP,66
2026-06-03 17:59:05.618054,192.168.1.21,151.101.209.91,TCP,54
2026-06-03 17:59:10.712574,142.251.220.106,192.168.1.21,UDP,150
2026-06-03 17:59:10.714012,192.168.1.21,142.251.220.106,UDP,75
2026-06-03 17:59:10.970052,192.168.1.21,192.168.1.1,UDP,102
2026-06-03 17:59:10.972334,192.168.1.1,192.168.1.21,UDP,118
2026-06-03 17:59:10.974171,192.168.1.21,192.168.1.1,UDP,102
2026-06-03 17:59:10.978921,192.168.1.21,142.251.220.106,UDP,447
2026-06-03 17:59:10.981041,192.168.1.1,192.168.1.21,UDP,130
2026-06-03 17:59:10.982512,142.251.220.106,192.168.1.21,UDP,78
2026-06-03 17:59:10.983816,192.168.1.21,142.251.220.106,UDP,76
2026-06-03 17:59:11.225857,142.251.220.106,192.168.1.21,UDP,147
2026-06-03 17:59:11.227837,192.168.1.21,142.251.220.106,UDP,80
2026-06-03 17:59:11.233429,192.168.1.21,142.251.220.106,UDP,1294
2026-06-03 17:59:11.238716,192.168.1.21,142.251.220.106,UDP,953
2026-06-03 17:59:11.240240,142.251.220.106,192.168.1.21,UDP,78
2026-06-03 17:59:11.241678,192.168.1.21,142.251.220.106,UDP,76
2026-06-03 17:59:11.481988,142.251.220.106,192.168.1.21,UDP,139
2026-06-03 17:59:11.483797,192.168.1.21,142.251.220.106,UDP,80
2026-06-03 17:59:11.485269,142.251.220.106,192.168.1.21,UDP,74
2026-06-03 17:59:12.253412,172.64.148.235,192.168.1.21,TCP,90
2026-06-03 17:59:12.259252,192.168.1.21,172.64.148.235,TCP,94
2026-06-03 17:59:12.263780,172.64.148.235,192.168.1.21,TCP,66
2026-06-03 17:59:14.305259,192.168.1.21,142.250.205.78,TCP,1454
2026-06-03 17:59:14.312038,192.168.1.21,142.250.205.78,TCP,1454
2026-06-03 17:59:14.324942,192.168.1.21,142.250.205.78,TCP,1102
2026-06-03 17:59:14.559496,192.168.1.21,142.250.205.78,TCP,323
2026-06-03 17:59:14.565698,142.250.205.78,192.168.1.21,TCP,66
2026-06-03 17:59:14.571769,142.250.205.78,192.168.1.21,TCP,66
2026-06-03 17:59:14.577405,142.250.205.78,192.168.1.21,TCP,66
